split,city,image_path,nearest_audit_cosine,above_audit_p90
external,zurich,data/generalization/images/zurich/zurich_2370.jpg,0.6891966,True
external,zurich,data/generalization/images/zurich/zurich_2408.jpg,0.8155369,True
external,zurich,data/generalization/images/zurich/zurich_2411.jpg,0.80293196,True
external,zurich,data/generalization/images/zurich/zurich_2462.jpg,0.80852026,True
external,zurich,data/generalization/images/zurich/zurich_2468.jpg,0.80979085,True
external,zurich,data/generalization/images/zurich/zurich_2470.jpg,0.77834606,True
external,zurich,data/generalization/images/zurich/zurich_2482.jpg,0.7930794,True
external,zurich,data/generalization/images/zurich/zurich_2487.jpg,0.7402373,True
external,zurich,data/generalization/images/zurich/zurich_2497.jpg,0.77886736,True
external,zurich,data/generalization/images/zurich/zurich_2499.jpg,0.8112589,True
external,zurich,data/generalization/images/zurich/zurich_2508.jpg,0.7010691,True
external,zurich,data/generalization/images/zurich/zurich_2594.jpg,0.7016016,True
external,zurich,data/generalization/images/zurich/zurich_2602.jpg,0.88172513,True
external,zurich,data/generalization/images/zurich/zurich_2617.jpg,0.8652468,True
external,zurich,data/generalization/images/zurich/zurich_2688.jpg,0.7606478,True
external,zurich,data/generalization/images/zurich/zurich_2718.jpg,0.79581773,True
external,zurich,data/generalization/images/zurich/zurich_2722.jpg,0.71054244,True
external,zurich,data/generalization/images/zurich/zurich_2732.jpg,0.85363305,True
external,taipei,data/generalization/images/taipei/taipei_130.jpg,0.8194328,True
external,taipei,data/generalization/images/taipei/taipei_174.jpg,0.7528666,True
external,taipei,data/generalization/images/taipei/taipei_1695.jpg,0.75030094,True
external,taipei,data/generalization/images/taipei/taipei_56.jpg,0.76820725,True
external,taipei,data/generalization/images/taipei/taipei_147.jpg,0.7320496,True
external,taipei,data/generalization/images/taipei/taipei_228.jpg,0.8366609,True
external,taipei,data/generalization/images/taipei/taipei_51.jpg,0.75457585,True
external,taipei,data/generalization/images/taipei/taipei_62.jpg,0.8383721,True
external,taipei,data/generalization/images/taipei/taipei_169.jpg,0.8308929,True
external,taipei,data/generalization/images/taipei/taipei_55.jpg,0.76820725,True
external,taipei,data/generalization/images/taipei/taipei_72.jpg,0.8408692,True
